uid,name,vendor_name,address,latitude,longitude,city,country,open,close,logo_url,staff,payment_modes,contact_numbers,station_type,postal_code,zone,0,available,capacity,cost_per_unit,power_type,total,type,vehicle_type
REVBOLT_00016317,REVOS,REVOS,h 97 jagat puri delhi,28.64815214,77.29002066,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919891112061""]",charging,110051,east-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00006523,REVOS,REVOS,House no 116 ghonda ,28.68903826,77.27026619,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919310224102""]",charging,110053,east-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00018001,REVOS,REVOS,Pilot no 802 west jawharnagar main loni road GZB,28.7238121,77.28916973,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919871366578""]",charging,110090,east-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00017951,REVOS,REVOS,Pilot no 802 west jawharnagar main loni road GZB,28.72380475,77.28917006,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919871366578""]",charging,110090,east-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00016480,REVOS,REVOS,1b 94 1 99 1 mb road khanpur old petrol pump new delhi 110062,28.51505895,77.23074518,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918130680007""]",charging,110062,south-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00016485,REVOS,REVOS,1b 94 1 99 1 mb road old petrol pump khanpur New Delhi 110066,28.5150946,77.23093193,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918130680007""]",charging,110062,south-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00008916,REVOS,REVOS,174 175 pocket 4 rohini sector 22,28.71722704,77.06110518,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918527202010""]",charging,110085,north-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00013338,REVOS,REVOS,House number 13 pkt G29 sector 3 rohini,28.70581658,77.10288629,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918700502512""]",charging,110085,north-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00017450,REVOS,REVOS,b 5 shop no 13 near mother dairy yamuna vihar,28.70042349,77.26973612,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918860806986""]",charging,110053,east-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00017692,REVOS,REVOS,b 5 shop no 13 near mother dairy yamuna vihar,28.70033527,77.26974215,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918860806986""]",charging,110053,east-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
